"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"JA000047409","ABASHIRI, JA","2024-05-18","68",,"51"
"JA000047409","ABASHIRI, JA","2024-05-19","55",,
"JA000047409","ABASHIRI, JA","2024-05-20","49",,
"JA000047409","ABASHIRI, JA","2024-05-21","46",,
"JA000047409","ABASHIRI, JA","2024-05-22","67",,"43"
"JA000047409","ABASHIRI, JA","2024-05-23","57",,
"JA000047409","ABASHIRI, JA","2024-05-24","40",,
"JA000047409","ABASHIRI, JA","2024-05-25","44",,"37"
"JA000047409","ABASHIRI, JA","2024-05-26","50",,"39"
"JA000047409","ABASHIRI, JA","2024-05-27","56",,
"JA000047409","ABASHIRI, JA","2024-05-28","44",,
"JA000047409","ABASHIRI, JA","2024-05-29","43",,"40"
"JA000047409","ABASHIRI, JA","2024-05-30","46",,"41"
"JA000047409","ABASHIRI, JA","2024-05-31","47",,
"JA000047409","ABASHIRI, JA","2024-06-01","50",,"42"
"JA000047409","ABASHIRI, JA","2024-06-02","55",,
"JA000047409","ABASHIRI, JA","2024-06-03","57",,"44"
"JA000047409","ABASHIRI, JA","2024-06-04","53",,
"JA000047409","ABASHIRI, JA","2024-06-05","45",,
"JA000047409","ABASHIRI, JA","2024-06-06","49",,"42"
"JA000047409","ABASHIRI, JA","2024-06-07","58",,"46"
"JA000047409","ABASHIRI, JA","2024-06-08","68",,"54"
"JA000047409","ABASHIRI, JA","2024-06-09","67",,
"JA000047409","ABASHIRI, JA","2024-06-10","61",,
"JA000047409","ABASHIRI, JA","2024-06-11","64",,"55"
"JA000047409","ABASHIRI, JA","2024-06-12","64",,
"JA000047409","ABASHIRI, JA","2024-06-13","51",,
"JA000047409","ABASHIRI, JA","2024-06-14","53",,"49"
"JA000047409","ABASHIRI, JA","2024-06-15","67",,"51"
"JA000047409","ABASHIRI, JA","2024-06-16","71",,"60"
"JA000047409","ABASHIRI, JA","2024-06-17","69",,"61"
"JA000047409","ABASHIRI, JA","2024-06-18","64",,
"JA000047409","ABASHIRI, JA","2024-06-19","54",,
"JA000047409","ABASHIRI, JA","2024-06-20","63",,"51"
"JA000047409","ABASHIRI, JA","2024-06-21","56",,
"JA000047409","ABASHIRI, JA","2024-06-22","55",,"53"
"JA000047409","ABASHIRI, JA","2024-06-23","55",,"53"
"JA000047409","ABASHIRI, JA","2024-06-24","59",,"54"
"JA000047409","ABASHIRI, JA","2024-06-25","55",,
"JA000047409","ABASHIRI, JA","2024-06-26","58",,"51"
"JA000047409","ABASHIRI, JA","2024-06-27","67",,"51"
"JA000047409","ABASHIRI, JA","2024-06-28","70",,"61"
"JA000047409","ABASHIRI, JA","2024-06-29","73",,"65"
"JA000047409","ABASHIRI, JA","2024-06-30","70",,
"JA000047409","ABASHIRI, JA","2024-07-01","60",,
"JA000047409","ABASHIRI, JA","2024-07-02","66",,"52"
"JA000047409","ABASHIRI, JA","2024-07-03","70",,"58"
"JA000047409","ABASHIRI, JA","2024-07-04","69",,
"JA000047409","ABASHIRI, JA","2024-07-05","69",,"61"
"JA000047409","ABASHIRI, JA","2024-07-06","71",,
"JA000047409","ABASHIRI, JA","2024-07-07","71",,"64"
"JA000047409","ABASHIRI, JA","2024-07-08","63",,
"JA000047409","ABASHIRI, JA","2024-07-09","66",,"60"
"JA000047409","ABASHIRI, JA","2024-07-10","67",,"62"
"JA000047409","ABASHIRI, JA","2024-07-11","68",,"63"
"JA000047409","ABASHIRI, JA","2024-07-12","67",,
"JA000047409","ABASHIRI, JA","2024-07-13","62",,
"JA000047409","ABASHIRI, JA","2024-07-14","62",,
"JA000047409","ABASHIRI, JA","2024-07-15","65",,"60"
"JA000047409","ABASHIRI, JA","2024-07-16","74",,"60"
"JA000047409","ABASHIRI, JA","2024-07-17","74",,
"JA000047409","ABASHIRI, JA","2024-07-18","71",,"67"
